                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |      22324 |      22152 |      20547 |      18916 |      22699 |      23597 |      23034 |      22806 |      20171 |      22513 |      22177 |      20853 |      23302 |      22203 |      18133 |      23281
    num cache misses                 |      21032 |      21148 |      19503 |      17848 |      21699 |      22537 |      22003 |      21767 |      18929 |      21484 |      21111 |      19828 |      22252 |      21146 |      17076 |      22271
    miss rate                        |     94.21% |     95.47% |     94.92% |     94.35% |     95.59% |     95.51% |     95.52% |     95.44% |     93.84% |     95.43% |     95.19% |     95.08% |     95.49% |     95.24% |     94.17% |     95.66%
    mpki                             |       4.08 |       4.09 |       4.03 |       3.97 |       4.06 |       4.11 |       4.11 |       4.06 |       3.92 |       4.00 |       4.02 |       3.93 |       4.00 |       4.01 |       3.85 |       4.04
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      22324 |      22152 |      20547 |      18916 |      22699 |      23597 |      23034 |      22806 |      20171 |      22513 |      22177 |      20853 |      23302 |      22203 |      18133 |      23281
    num cache misses                 |      12432 |      12337 |      10990 |       9878 |      12277 |      13044 |      12579 |      12649 |      11247 |      12952 |      12355 |      11206 |      12947 |      12133 |       9578 |      13091
    miss rate                        |     55.69% |     55.69% |     53.49% |     52.22% |     54.09% |     55.28% |     54.61% |     55.46% |     55.76% |     57.53% |     55.71% |     53.74% |     55.56% |     54.65% |     52.82% |     56.23%
    mpki                             |       2.41 |       2.39 |       2.27 |       2.20 |       2.30 |       2.38 |       2.35 |       2.36 |       2.33 |       2.41 |       2.36 |       2.22 |       2.33 |       2.30 |       2.16 |       2.37
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     242.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     189.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          3 |          4 |          4 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7210 |       7116 |       6370 |       5809 |       7365 |       7921 |       7576 |       7525 |       6388 |       7493 |       7115 |       6592 |       7598 |       7252 |       5876 |       7669
