                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |     207290 |     267716 |     226672 |     311974 |     265967 |     271432 |     329249 |     271949 |     259029 |     283433 |     312534 |     274343 |     301088 |     310855 |     314605 |     145752
    miss rate                        |     38.66% |     55.35% |     54.40% |     56.80% |     54.49% |     54.52% |     57.95% |     54.89% |     40.88% |     54.91% |     55.68% |     55.64% |     55.61% |     56.30% |     56.34% |     55.43%
    mpki                             |      52.17 |      66.65 |      62.29 |      70.17 |      66.02 |      66.52 |      71.29 |      67.33 |      57.53 |      66.65 |      65.48 |      66.51 |      68.58 |      69.89 |      63.43 |      52.18
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     167.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          5 |          4 |          3 |          3 |          3 |          3 |          4 |          3 |          4 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     165734 |     202917 |     175357 |     227702 |     205197 |     209194 |     224976 |     206765 |     202610 |     213662 |     234689 |     208445 |     226627 |     231195 |     232988 |     110330
