                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      44580 |      28992 |      30309 |      36822 |      23591 |      40448 |      36574 |      27996 |      39250 |      39585 |      39315 |      38446 |      31992 |      32397 |      38963 |      40612
    num cache misses                 |         14 |         16 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.03% |      0.06% |      0.05% |      0.04% |      0.07% |      0.04% |      0.04% |      0.06% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.04% |      0.04%
    mpki                             |       0.09 |       0.14 |       0.14 |       0.12 |       0.18 |       0.11 |       0.12 |       0.15 |       0.11 |       0.11 |       0.11 |       0.11 |       0.13 |       0.13 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      88899 |      65496 |      67473 |      77242 |      57402 |      82680 |      76869 |      64002 |      80883 |      81387 |      80982 |      79677 |      69996 |      70605 |      80454 |      82927
    num cache misses                 |      18856 |      10572 |      11050 |      14725 |       7511 |      16478 |      14665 |      10224 |      17854 |      16079 |      16015 |      15540 |      12289 |      12379 |      15947 |      16205
    miss rate                        |     21.21% |     16.14% |     16.38% |     19.06% |     13.08% |     19.93% |     19.08% |     15.97% |     22.07% |     19.76% |     19.78% |     19.50% |     17.56% |     17.53% |     19.82% |     19.54%
    mpki                             |     118.79 |      94.47 |      95.37 |     108.75 |      78.47 |     112.65 |     108.91 |      93.87 |     125.13 |     111.90 |     112.09 |     110.79 |     101.64 |     101.36 |     112.44 |     110.41
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19428 |      10915 |      11371 |      15107 |       7774 |      17045 |      15125 |      10550 |      18345 |      16489 |      16472 |      15929 |      12665 |      12798 |      16368 |      16615
    num cache misses                 |      18873 |      10593 |      11073 |      14744 |       7531 |      16503 |      14689 |      10244 |      17874 |      16104 |      16040 |      15561 |      12310 |      12397 |      15968 |      16231
    miss rate                        |     97.14% |     97.05% |     97.38% |     97.60% |     96.87% |     96.82% |     97.12% |     97.10% |     97.43% |     97.67% |     97.38% |     97.69% |     97.20% |     96.87% |     97.56% |     97.69%
    mpki                             |     118.89 |      94.66 |      95.57 |     108.89 |      78.67 |     112.82 |     109.09 |      94.05 |     125.27 |     112.07 |     112.26 |     110.94 |     101.81 |     101.51 |     112.59 |     110.59
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19428 |      10915 |      11371 |      15107 |       7774 |      17045 |      15125 |      10550 |      18345 |      16489 |      16472 |      15929 |      12665 |      12798 |      16368 |      16615
    num cache misses                 |       9684 |       6257 |       6586 |       8705 |       4433 |      10238 |       8964 |       6084 |       7740 |       9173 |       9309 |       8925 |       7207 |       7269 |       9153 |       9597
    miss rate                        |     49.85% |     57.32% |     57.92% |     57.62% |     57.02% |     60.06% |     59.27% |     57.67% |     42.19% |     55.63% |     56.51% |     56.03% |     56.90% |     56.80% |     55.92% |     57.76%
    mpki                             |      61.01 |      55.91 |      56.84 |      64.29 |      46.31 |      69.99 |      66.57 |      55.86 |      54.25 |      63.84 |      65.15 |      63.63 |      59.61 |      59.52 |      64.54 |      65.39
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     224.45 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     171.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          4 |          4 |          4 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6179 |       4182 |       4413 |       5924 |       2848 |       6759 |       5976 |       3992 |       5578 |       6371 |       6367 |       6272 |       4974 |       4989 |       6360 |       6429
