                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      5.17% |      5.23% |      5.21% |      5.17% |      5.18% |      5.25% |      5.32% |      5.11% |      5.22% |      5.20% |      5.13% |      5.29% |      5.25% |      5.10% |      5.14% |      5.17%
    mpki                             |      30.95 |      31.33 |      31.23 |      30.99 |      31.03 |      31.45 |      31.82 |      30.66 |      31.29 |      31.17 |      30.71 |      31.66 |      31.42 |      30.56 |      30.79 |      30.93
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9319 |       9359 |       9370 |       9244 |       9221 |       9474 |       9597 |       9202 |       9471 |       9309 |       9207 |       9521 |       9362 |       9175 |       9291 |       9322
    num cache misses                 |       7423 |       7530 |       7487 |       7446 |       7474 |       7601 |       7740 |       7370 |       7513 |       7525 |       7406 |       7655 |       7597 |       7378 |       7455 |       7491
    miss rate                        |     79.65% |     80.46% |     79.90% |     80.55% |     81.05% |     80.23% |     80.65% |     80.09% |     79.33% |     80.84% |     80.44% |     80.40% |     81.15% |     80.41% |     80.24% |     80.36%
    mpki                             |      31.11 |      31.59 |      31.46 |      31.31 |      31.37 |      31.85 |      32.29 |      30.99 |      31.49 |      31.63 |      31.07 |      32.05 |      31.85 |      30.96 |      31.31 |      31.39
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9319 |       9359 |       9370 |       9244 |       9221 |       9474 |       9597 |       9202 |       9471 |       9309 |       9207 |       9521 |       9362 |       9175 |       9291 |       9322
    num cache misses                 |       4257 |       4338 |       4377 |       4311 |       4431 |       4513 |       4638 |       4338 |       4249 |       4382 |       4244 |       4484 |       4357 |       4309 |       4446 |       4490
    miss rate                        |     45.68% |     46.35% |     46.71% |     46.64% |     48.05% |     47.64% |     48.33% |     47.14% |     44.86% |     47.07% |     46.10% |     47.10% |     46.54% |     46.96% |     47.85% |     48.17%
    mpki                             |      17.84 |      18.20 |      18.39 |      18.13 |      18.60 |      18.91 |      19.35 |      18.24 |      17.81 |      18.42 |      17.81 |      18.77 |      18.27 |      18.08 |      18.67 |      18.82
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     260.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     207.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          7 |          6 |          4 |          6 |          5 |          6 |          4 |          4 |          4 |          4 |          4 |          4 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2626 |       2664 |       2733 |       2666 |       2770 |       2812 |       2808 |       2698 |       2769 |       2732 |       2677 |       2782 |       2743 |       2676 |       2768 |       2713
