                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |       6801 |       9690 |       9537 |       9183 |       8203 |       7704 |       8358 |       9048 |       9222 |       8031 |       8630 |       8182 |       7628 |       8583 |       6865 |       9270
    miss rate                        |     60.16% |     64.21% |     63.93% |     63.73% |     61.90% |     61.81% |     62.57% |     64.28% |     62.70% |     61.72% |     62.38% |     61.92% |     60.94% |     62.65% |     60.44% |     65.35%
    mpki                             |      15.44 |      16.35 |      16.46 |      16.24 |      15.32 |      15.23 |      15.72 |      16.17 |      15.39 |      14.41 |      14.97 |      14.17 |      14.24 |      14.66 |      14.02 |      16.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     233.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     180.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          5 |          4 |          3 |          5 |          3 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4156 |       5946 |       5760 |       5670 |       5016 |       4754 |       5220 |       5483 |       5520 |       4594 |       4940 |       4642 |       4373 |       4912 |       3949 |       5388
