                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       3.67 |       3.45 |       3.51 |       3.66 |       3.63 |       3.61 |       3.39 |       3.40 |       3.38 |       3.38 |       3.33 |       3.47 |       3.54 |       3.46 |       3.49 |       3.37
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24287 |      20924 |      21467 |      23890 |      24234 |      23299 |      19776 |      19591 |      19866 |      15674 |      19576 |      22611 |      23486 |      23532 |      23635 |      20247
    num cache misses                 |      23056 |      19880 |      20448 |      22836 |      23196 |      22247 |      18690 |      18519 |      18604 |      14610 |      18533 |      21563 |      22452 |      22919 |      22588 |      19154
    miss rate                        |     94.93% |     95.01% |     95.25% |     95.59% |     95.72% |     95.48% |     94.51% |     94.53% |     93.65% |     93.21% |     94.67% |     95.37% |     95.60% |     97.40% |     95.57% |     94.60%
    mpki                             |       3.67 |       3.46 |       3.52 |       3.66 |       3.63 |       3.61 |       3.39 |       3.40 |       3.39 |       3.39 |       3.33 |       3.47 |       3.54 |       3.46 |       3.49 |       3.37
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24287 |      20924 |      21467 |      23890 |      24234 |      23299 |      19776 |      19591 |      19866 |      15674 |      19576 |      22611 |      23486 |      23532 |      23635 |      20247
    num cache misses                 |      14131 |      11272 |      11561 |      13243 |      13512 |      12871 |      10230 |      10447 |      10955 |       8411 |      10374 |      12766 |      13441 |      13673 |      13323 |      10951
    miss rate                        |     58.18% |     53.87% |     53.85% |     55.43% |     55.76% |     55.24% |     51.73% |     53.33% |     55.14% |     53.66% |     52.99% |     56.46% |     57.23% |     58.10% |     56.37% |     54.09%
    mpki                             |       2.25 |       1.96 |       1.99 |       2.12 |       2.12 |       2.09 |       1.86 |       1.92 |       1.99 |       1.95 |       1.87 |       2.06 |       2.12 |       2.07 |       2.06 |       1.93
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     224.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     170.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          4 |          3 |          3 |          3 |          3 |          5 |          5 |          3 |          3 |          4 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8087 |       6432 |       6660 |       7806 |       7931 |       7560 |       6067 |       6058 |       6324 |       4776 |       6067 |       7551 |       7921 |       8128 |       8030 |       6409
