                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |      26579 |      18288 |      25064 |      23228 |      25294 |      25039 |      25918 |      22662 |      21693 |      24690 |      19365 |      24744 |      22385 |      23792 |      24235 |      24141
    num cache misses                 |      26511 |      18241 |      25013 |      23165 |      25238 |      24992 |      25871 |      22598 |      21621 |      24642 |      19316 |      24674 |      22332 |      23724 |      24191 |      24094
    miss rate                        |     99.74% |     99.74% |     99.80% |     99.73% |     99.78% |     99.81% |     99.82% |     99.72% |     99.67% |     99.81% |     99.75% |     99.72% |     99.76% |     99.71% |     99.82% |     99.81%
    mpki                             |     157.29 |     126.69 |     141.14 |     140.18 |     144.34 |     143.59 |     146.56 |     139.84 |     145.80 |     136.27 |     128.83 |     138.11 |     136.79 |     139.57 |     142.28 |     140.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      26579 |      18288 |      25064 |      23228 |      25294 |      25039 |      25918 |      22662 |      21693 |      24690 |      19365 |      24744 |      22385 |      23792 |      24235 |      24141
    num cache misses                 |      10760 |      10377 |      14117 |      12877 |      14016 |      13776 |      14318 |      12451 |       9234 |      14671 |      11228 |      14679 |      12904 |      13548 |      13645 |      13826
    miss rate                        |     40.48% |     56.74% |     56.32% |     55.44% |     55.41% |     55.02% |     55.24% |     54.94% |     42.57% |     59.42% |     57.98% |     59.32% |     57.65% |     56.94% |     56.30% |     57.27%
    mpki                             |      63.84 |      72.07 |      79.66 |      77.92 |      80.16 |      79.15 |      81.11 |      77.05 |      62.27 |      81.13 |      74.89 |      82.16 |      79.04 |      79.70 |      80.25 |      80.49
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     225.92 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     172.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          5 |          4 |          3 |          3 |          4 |          4 |          3 |          4 |          3 |          4 |          3 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8068 |       7456 |      10358 |       9522 |      10362 |      10253 |      10401 |       9086 |       6706 |      10521 |       8145 |      10505 |       9444 |       9910 |      10008 |      10198
