                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |         16 |         17 |         16 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2042792 |    2070386 |    2527038 |    1942020 |    2507967 |    2549694 |    2750769 |    2252967 |    1862121 |    2380920 |    2256216 |    2507184 |    2495397 |    2589105 |    2540487 |    2676358
    num cache misses                 |     443473 |     412237 |     561935 |     368812 |     557707 |     566362 |     567243 |     471392 |     367135 |     505373 |     465860 |     544678 |     544626 |     567359 |     557613 |     575593
    miss rate                        |     21.71% |     19.91% |     22.24% |     18.99% |     22.24% |     22.21% |     20.62% |     20.92% |     19.72% |     21.23% |     20.65% |     21.72% |     21.83% |     21.91% |     21.95% |     21.51%
    mpki                             |     124.17 |     113.67 |     123.77 |     109.44 |     123.88 |     123.52 |     113.73 |     118.09 |     114.37 |     118.97 |     116.51 |     121.03 |     121.66 |     121.64 |     122.10 |     118.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     443518 |     412285 |     561999 |     368852 |     557759 |     566419 |     567314 |     471437 |     367192 |     505426 |     465907 |     544736 |     544677 |     567418 |     557665 |     575650
    num cache misses                 |     443489 |     412254 |     561951 |     368828 |     557723 |     566379 |     567259 |     471408 |     367151 |     505389 |     465876 |     544694 |     544642 |     567375 |     557630 |     575609
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     124.17 |     113.67 |     123.78 |     109.45 |     123.89 |     123.52 |     113.74 |     118.09 |     114.37 |     118.98 |     116.52 |     121.04 |     121.66 |     121.65 |     122.10 |     118.96
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     443518 |     412285 |     561999 |     368852 |     557759 |     566419 |     567314 |     471437 |     367192 |     505426 |     465907 |     544736 |     544677 |     567418 |     557665 |     575650
    num cache misses                 |     143800 |     216811 |     313892 |     198524 |     322462 |     332099 |     340499 |     281647 |     122856 |     282685 |     267593 |     315256 |     316909 |     333328 |     328627 |     346909
    miss rate                        |     32.42% |     52.59% |     55.85% |     53.82% |     57.81% |     58.63% |     60.02% |     59.74% |     33.46% |     55.93% |     57.43% |     57.87% |     58.18% |     58.74% |     58.93% |     60.26%
    mpki                             |      40.26 |      59.78 |      69.14 |      58.91 |      71.63 |      72.43 |      68.27 |      70.56 |      38.27 |      66.55 |      66.93 |      70.05 |      70.79 |      71.47 |      71.96 |      71.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     221.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     168.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          5 |          4 |          4 |          3 |          4 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      87759 |     147283 |     196946 |     130092 |     192287 |     192120 |     189236 |     162471 |      74003 |     174876 |     159993 |     182784 |     180455 |     190118 |     190268 |     199313
